sample_id,step_index,domain,trajectory_type,deepseek-v4-flash,zhipu_glm_4_7,zhipu_glm_5_turbo,deepseek-v4-pro,zhipu_glm_5_1,zhipu_glm_5_2
parallel:Travel:simple_ver:163,0,Travel,parallel,0.666667,0.111111,0.666667,0.666667,0.666667,0.666667
parallel:Travel:simple_ver:163,1,Travel,parallel,0.666667,0.111111,0.666667,0.666667,0.666667,0.666667
parallel:Travel:simple_ver:163,2,Travel,parallel,0.666667,0.111111,0.666667,0.666667,0.666667,0.666667
parallel:Travel:hard_ver:28,0,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,1,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,2,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,3,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,4,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,5,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,6,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,7,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Weather:simple_ver:6,0,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:simple_ver:6,1,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:simple_ver:6,2,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:simple_ver:6,3,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:hard_ver:189,0,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,1,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,2,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,3,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,4,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,5,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,6,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,7,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:simple_ver:70,0,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,1,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,2,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,3,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,4,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,5,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,6,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,7,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,8,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:hard_ver:62,0,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:hard_ver:62,1,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:hard_ver:62,2,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:hard_ver:62,3,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:hard_ver:62,4,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:hard_ver:62,5,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:hard_ver:62,6,Finance,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Mapping:simple_ver:57,0,Mapping,parallel,0.055556,0.111111,0.111111,0.055556,0.055556,0.055556
parallel:Mapping:simple_ver:57,1,Mapping,parallel,0.055556,0.111111,0.111111,0.055556,0.055556,0.055556
parallel:Mapping:simple_ver:57,2,Mapping,parallel,0.055556,0.111111,0.111111,0.055556,0.055556,0.055556
parallel:Mapping:simple_ver:57,3,Mapping,parallel,0.055556,0.111111,0.111111,0.055556,0.055556,0.055556
parallel:Mapping:simple_ver:57,4,Mapping,parallel,0.055556,0.111111,0.111111,0.055556,0.055556,0.055556
parallel:Mapping:simple_ver:57,5,Mapping,parallel,0.055556,0.111111,0.111111,0.055556,0.055556,0.055556
parallel:Mapping:hard_ver:35,0,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,1,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,2,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,3,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,4,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,5,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,6,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,7,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,8,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Mapping:hard_ver:35,9,Mapping,parallel,0.066667,0.033333,0.066667,0.233333,0.066667,0.033333
parallel:Music:simple_ver:188,0,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,1,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,2,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,3,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,4,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,5,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,6,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:simple_ver:188,7,Music,parallel,0.375000,0.375000,0.375000,0.236111,0.375000,0.375000
parallel:Music:hard_ver:26,0,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,1,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,2,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,3,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,4,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,5,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,6,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:Music:hard_ver:26,7,Music,parallel,0.347222,0.347222,0.347222,0.347222,0.000000,0.000000
parallel:News_Media:simple_ver:173,0,News_Media,parallel,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
parallel:News_Media:simple_ver:173,1,News_Media,parallel,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
parallel:News_Media:simple_ver:173,2,News_Media,parallel,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
parallel:News_Media:simple_ver:173,3,News_Media,parallel,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
parallel:News_Media:simple_ver:173,4,News_Media,parallel,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
parallel:News_Media:hard_ver:189,0,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,1,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,2,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,3,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,4,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,5,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,6,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:News_Media:hard_ver:189,7,News_Media,parallel,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
parallel:Education:simple_ver:139,0,Education,parallel,0.444444,0.388889,0.444444,0.388889,0.444444,0.444444
parallel:Education:simple_ver:139,1,Education,parallel,0.444444,0.388889,0.444444,0.388889,0.444444,0.444444
parallel:Education:simple_ver:139,2,Education,parallel,0.444444,0.388889,0.444444,0.388889,0.444444,0.444444
parallel:Education:simple_ver:139,3,Education,parallel,0.444444,0.388889,0.444444,0.388889,0.444444,0.444444
parallel:Education:simple_ver:139,4,Education,parallel,0.444444,0.388889,0.444444,0.388889,0.444444,0.444444
parallel:Education:simple_ver:139,5,Education,parallel,0.444444,0.388889,0.444444,0.388889,0.444444,0.444444
parallel:Education:hard_ver:22,0,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,1,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,2,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,3,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,4,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,5,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,6,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Education:hard_ver:22,7,Education,parallel,0.375000,0.375000,0.347222,0.416667,0.000000,0.000000
parallel:Email:simple_ver:151,0,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,1,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,2,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,3,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,4,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,5,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,6,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,7,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:simple_ver:151,8,Email,parallel,0.333333,0.385185,0.314815,0.451852,0.000000,0.385185
parallel:Email:hard_ver:108,0,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,1,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,2,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,3,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,4,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,5,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,6,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Email:hard_ver:108,7,Email,parallel,0.527778,0.527778,0.527778,0.527778,0.527778,0.527778
parallel:Gaming:simple_ver:8,0,Gaming,parallel,0.333333,0.416667,0.416667,0.416667,0.416667,0.333333
parallel:Gaming:simple_ver:8,1,Gaming,parallel,0.333333,0.416667,0.416667,0.416667,0.416667,0.333333
parallel:Gaming:simple_ver:8,2,Gaming,parallel,0.333333,0.416667,0.416667,0.416667,0.416667,0.333333
parallel:Gaming:simple_ver:8,3,Gaming,parallel,0.333333,0.416667,0.416667,0.416667,0.416667,0.333333
parallel:Gaming:hard_ver:7,0,Gaming,parallel,0.472222,0.472222,0.472222,0.472222,0.472222,0.472222
parallel:Gaming:hard_ver:7,1,Gaming,parallel,0.472222,0.472222,0.472222,0.472222,0.472222,0.472222
parallel:Gaming:hard_ver:7,2,Gaming,parallel,0.472222,0.472222,0.472222,0.472222,0.472222,0.472222
parallel:Gaming:hard_ver:7,3,Gaming,parallel,0.472222,0.472222,0.472222,0.472222,0.472222,0.472222
parallel:eCommerce:simple_ver:23,0,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:simple_ver:23,1,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:simple_ver:23,2,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:simple_ver:23,3,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:simple_ver:23,4,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:simple_ver:23,5,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:simple_ver:23,6,eCommerce,parallel,0.523810,0.523810,0.523810,0.523810,0.523810,0.523810
parallel:eCommerce:hard_ver:55,0,eCommerce,parallel,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000
parallel:eCommerce:hard_ver:55,1,eCommerce,parallel,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000
parallel:eCommerce:hard_ver:55,2,eCommerce,parallel,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000
parallel:eCommerce:hard_ver:55,3,eCommerce,parallel,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000
parallel:eCommerce:hard_ver:55,4,eCommerce,parallel,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000
parallel:eCommerce:hard_ver:55,5,eCommerce,parallel,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000
sequential:Travel:traj_query:129,0,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,1,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,2,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,3,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,4,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,5,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,6,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,7,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Travel:traj_query:129,8,Travel,sequential,0.222222,0.370370,0.240741,0.222222,0.240741,0.000000
sequential:Weather:traj_query:154,0,Weather,sequential,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
sequential:Weather:traj_query:154,1,Weather,sequential,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
sequential:Weather:traj_query:154,2,Weather,sequential,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
sequential:Weather:traj_query:154,3,Weather,sequential,0.250000,0.250000,0.250000,0.250000,0.250000,0.250000
sequential:Finance:traj_query:6,0,Finance,sequential,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sequential:Finance:traj_query:6,1,Finance,sequential,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sequential:Finance:traj_query:6,2,Finance,sequential,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sequential:Mapping:traj_query:143,0,Mapping,sequential,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
sequential:Mapping:traj_query:143,1,Mapping,sequential,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
sequential:Mapping:traj_query:143,2,Mapping,sequential,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
sequential:Mapping:traj_query:143,3,Mapping,sequential,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
sequential:Mapping:traj_query:143,4,Mapping,sequential,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
sequential:Music:traj_query:50,0,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,1,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,2,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,3,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,4,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,5,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,6,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:Music:traj_query:50,7,Music,sequential,0.236111,0.250000,0.236111,0.236111,0.236111,0.236111
sequential:News_Media:traj_query:166,0,News_Media,sequential,0.444444,0.444444,0.388889,0.111111,0.444444,0.388889
sequential:News_Media:traj_query:166,1,News_Media,sequential,0.444444,0.444444,0.388889,0.111111,0.444444,0.388889
sequential:News_Media:traj_query:166,2,News_Media,sequential,0.444444,0.444444,0.388889,0.111111,0.444444,0.388889
sequential:Education:traj_query:179,0,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,1,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,2,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,3,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,4,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,5,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,6,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,7,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,8,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Education:traj_query:179,9,Education,sequential,0.311111,0.300000,0.311111,0.000000,0.000000,0.000000
sequential:Gaming:traj_query:139,0,Gaming,sequential,0.333333,0.333333,0.333333,0.166667,0.000000,0.000000
sequential:Gaming:traj_query:139,1,Gaming,sequential,0.333333,0.333333,0.333333,0.166667,0.000000,0.000000
sequential:Gaming:traj_query:139,2,Gaming,sequential,0.333333,0.333333,0.333333,0.166667,0.000000,0.000000
sequential:Gaming:traj_query:139,3,Gaming,sequential,0.333333,0.333333,0.333333,0.166667,0.000000,0.000000
sequential:eCommerce:traj_query:107,0,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
sequential:eCommerce:traj_query:107,1,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
sequential:eCommerce:traj_query:107,2,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
sequential:eCommerce:traj_query:107,3,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
sequential:eCommerce:traj_query:107,4,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
sequential:eCommerce:traj_query:107,5,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
sequential:eCommerce:traj_query:107,6,eCommerce,sequential,0.857143,0.904762,0.904762,0.857143,0.904762,0.904762
